eventName,eventVenue,eventContent,startDate,endDate,startTime,endTime,eventOrganization,eventHost,phoneNumber,baseDate,code,providName
기획연주회(모닝콘서트),성남아트센터 앙상블시어터,공연,2019-02-15,2019-02-15,11:00,00:00,성남시립합창단,성남시립합창단,031-729-4807,2020-07-10,3780000,경기도 성남시
제159회 정기연주회,성남아트센터 콘서트홀,공연,2019-02-28,2019-02-28,19:30,00:00,성남시립교향악단,성남시립교향악단,031-729-4809,2020-07-10,3780000,경기도 성남시
천원의 행복릴레이,성남아트센터 앙상블시어터,공연,2019-03-07,2019-03-07,19:30,00:00,성남시립국악단,성남시립국악단,031-729-4809,2020-07-10,3780000,경기도 성남시
기획연주회(오페라 이야기),성남아트센터 콘서트홀,공연,2019-03-13,2019-03-13,19:30,00:00,성남시립교향악단,성남시립교향악단,031-729-4809,2020-07-10,3780000,경기도 성남시
제160회 정기연주회,성남아트센터 콘서트홀,공연,2019&03&22,2019-03-22,19:30,00-00,성남시립교향악단,성남시립교향악단,"031,729,4809",2020-07-10,3780000,경기도 성남시
기획연주회(우리 동네 콘서트),복정초등학교 체육관,공연,2019-03-29,2019-03-29,19:30,00:00,성남시립합창단,성남시립합창단,031-729-4807,2020-07-10,3780000,경기도 성남시
연극 품바,봉산문화회관 스페이스라온,연극,2019-04-11,2019-06-02,19:45,21:15,고도예술기획,고도예술기획,1566-7897,2021-07-01,3410000,대구광역시 중구
베르디 베스트 컬렉션,웃는얼굴아트센터 청룡홀,로컬 아티스트 프로젝트,2021&07&09,2021-07-09,19:30,21-30,(재)달서문화재단 웃는얼굴아트센터,(재)달서문화재단 웃는얼굴아트센터,"053,584,8719",2021-09-06,3470000,대구광역시 달서구
그림자극 랑랑별 때때롱,웃는얼굴아트센터 청룡홀,프로덕션 시리즈,2021-07-23,2021-07-24,11:00,12:00,"(재)달서문화재단 웃는얼굴아트센터, 성주문화예술회관, 연천수레울아트홀",한국문화예술회관연합회,053-584-8719,2021-09-06,3470000,대구광역시 달서구
밴드 아프리카 & 고니 밴드 콘서트 추억만들기,웃는얼굴아트센터 청룡홀,문화가 있는 날,2021-07-28,2021-07-28,19:30,21:00,(재)달서문화재단 웃는얼굴아트센터,(재)달서문화재단 웃는얼굴아트센터,053-584-8719,2021-09-06,3470000,대구광역시 달서구
뮤지컬 그대 이름은 장미,웃는얼굴아트센터 청룡홀,상주단체 정기공연,2021-08-13,2021-08-15,19:30,21:00,(재)달서문화재단 웃는얼굴아트센터,(재)달서문화재단 웃는얼굴아트센터,053-584-8719,2021-09-06,3470000,대구광역시 달서구
소피아클라식 낭만주의,웃는얼굴아트센터 청룡홀,문화가 있는 날,2021-08-25,2021-08-25,19:30,20:30,(재)달서문화재단 웃는얼굴아트센터,(재)달서문화재단 웃는얼굴아트센터,053-584-8719,2021-09-06,3470000,대구광역시 달서구
대구시립소년소녀합창단과 함께하는 친구야 노래하자,웃는얼굴아트센터 청룡홀,코워크프로그램,2021-08-28,2021-08-28,17:00,18:10,"(재)달서문화재단 웃는얼굴아트센터, 대구시립소년소녀합창단","(재)달서문화재단 웃는얼굴아트센터, 대구시립예술단",053-584-8719,2021-09-06,3470000,대구광역시 달서구
신년해맞이(취소),개운산 공원 운동장,"해맞이, 소원풍선날리기, 대북타고, 축하공연 등",2021-01-01,2021-01-01,07:00,09:00,성북구청,성북구청,02-2241-2603,2021-09-06,3070000,서울특별시 성북구
세계음식축제 (미정),성북동 성북로 일대,"국가대표요리사, 우리동네요리사, 지구만물장, 누리마실퍼레이드 등(행사시작일 종료일 미정)",2021-10-01,2021-11-30,09:00,18:00,성북구청,성북문화재단,02-6906-3106,2021-09-06,3070000,서울특별시 성북구
성북문화바캉스,중랑우이천 합류부 다목적광장,공연장에서 구민과 함께하는 음악 연주회,2021-10-01,2021-11-30,09:00,18:00,성북구청,성북문화재단,02-6906-3106,2021-09-06,3070000,서울특별시 성북구
성북동 밤마실,성북동 성북로 일대,"야간 문화재 관람 및 체험, 공연 등(행사시작일 종료일 미정)",2021&10&01,2021-10-30,09:00,18-00,성북구청,성북문화원,"02,765,1611",2021-09-06,3070000,서울특별시 성북구
성북페스티벌,성북구청 바람마당,온라인 연극 공연,2021-10-12,2021-10-31,09:00,18:00,성북구청,성북연극협회,02-924-0939,2021-09-06,3070000,서울특별시 성북구
삼선 선녀축제(미정),삼선교 분수마루,"선녀하강퍼포먼스, 퍼레이드, 주민화합한마당, 노래자랑 등(행사시작일 종료일 미정)",2021-10-01,2021-11-30,09:00,18:00,성북구청,선녀축제추진위원회,02-2241-5041,2021-09-06,3070000,서울특별시 성북구
헤드윅,코스모스대극장,뮤지컬,2015&05&15,2015-05-16,15:00,00-00,구리아트홀(구리시청),구리아트홀(구리시청),"031,550,8800",2021-06-28,3980000,경기도 구리시
몽니 민트그레이 콘서트,유채꽃소극장,콘서트,2015-05-22,2015-05-22,20:00,00:00,구리아트홀(구리시청),구리아트홀(구리시청),031-550-8800,2021-06-28,3980000,경기도 구리시
한승석 정재일 바리,코스모스대극장,콘서트,2015&05&27,2015-05-27,20:00,00-00,구리아트홀(구리시청),구리아트홀(구리시청),"031,550,8800",2021-06-28,3980000,경기도 구리시
개관2주년음악회,코스모스대극장,클래식,2015-05-29,2015-05-29,20:00,00:00,구리아트홀(구리시청),구리아트홀(구리시청),031-550-8800,2021-06-28,3980000,경기도 구리시
토스카,코스모스대극장,오페라,2015-05-30,2015-05-30,15:00,00:00,구리아트홀(구리시청),구리아트홀(구리시청),031-550-8800,2021-06-28,3980000,경기도 구리시
국립발레단 백조의 호수,코스모스대극장,무용,2015-06-05,2015-06-06,20:00,00:00,구리아트홀(구리시청),구리아트홀(구리시청),031-550-8800,2021-06-28,3980000,경기도 구리시
모차르트의 마법 바이올린,서산시문화회관 대공연장,기획공연,2019-10-12,2019-10-12,19:30,21:30,서산시,서산시,041-661-8029,2020-12-17,4530000,충청남도 서산시
하모니,서산시문화회관 대공연장,기획공연,2019-10-24,2019-10-25,19:30,21:30,서산시,서산시,041-661-8029,2020-12-17,4530000,충청남도 서산시
"윤동주, 달을 쏘다",서산시문화회관 대공연장,기획공연,2019-11-07,2019-11-08,19:30,21:30,서산시,서산시,041-661-8029,2020-12-17,4530000,충청남도 서산시
내가 가장 예뻤을 때,서산시문화회관 소공연장,기획공연,2019&11&20,2019-11-23,19:30,21-30,서산시,서산시,"041,661,8029",2020-12-17,4530000,충청남도 서산시
수상한 집주인,서산시문화회관 소공연장,기획공연,2019-12-04,2019-12-07,19:30,21:30,서산시,서산시,041-661-8029,2020-12-17,4530000,충청남도 서산시
뷰티풀 라이프,서산시문화회관 소공연장,기획공연,2019-12-10,2019-12-14,19:30,21:30,서산시,서산시,041-661-8029,2020-12-17,4530000,충청남도 서산시
2019년 송년음악회,서산시문화회관 대공연장,기획공연,2019-12-10,2019-12-20,19:30,21:30,서산시,서산시,041-661-8029,2020-12-17,4530000,충청남도 서산시
2020 신년음악회,서산시문화회관 대공연장,기획공연,2020-01-30,2020-01-30,19:30,21:30,서산시,서산시,041-661-8029,2020-12-17,4530000,충청남도 서산시
오늘도 무사히 콘서트3,부평아트센터,대중음악,2020-09-29,2020-09-29,19:30,21:00,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
오늘도 무사히 콘서트4,부평아트센터,대중음악,2020-10-28,2020-10-28,19:30,21:00,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
테라피 클래식,부평아트센터,클래식,2020-09-12,2020-09-13,11:00,12:30,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
테라피 클래식,부평아트센터,클래식,2020-09-12,2020-09-13,15:00,16:30,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
트리플 빌,부평아트센터,현대무용,2020-10-08,2020-10-08,19:30,21:00,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
트리플 빌,부평아트센터,현대무용,2020&10&08,2020-10-08,19:30,21-00,부평구문화재단,부평구문화재단,"032,500,2000",2020-06-09,3540000,인천광역시 부평구
헛스윙밴드,부평아트센터,뮤지컬,2020-11-11,2020-11-21,15:00,16:40,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
헛스윙밴드,부평아트센터,뮤지컬,2020-11-11,2020-11-21,19:30,21:10,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
얼쑤,부평아트센터,뮤지컬,2020&07&15,2020-07-15,10:30,12-00,부평구문화재단,부평구문화재단,"032,500,2000",2020-06-09,3540000,인천광역시 부평구
얼쑤,부평아트센터,뮤지컬,2020-07-15,2020-07-15,14:30,16:00,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
창문 넘어 도망친 100세 노인,부평아트센터,연극,2020-08-28,2020-08-29,15:00,17:20,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
창문 넘어 도망친 100세 노인,부평아트센터,연극,2020-08-28,2020-08-29,19:30,21:50,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
오늘도 무사히 콘서트1,부평아트센터,대중음악,2020-07-29,2020-07-29,19:30,21:00,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
오늘도 무사히 콘서트2,부평아트센터,대중음악,2020-08-26,2020-08-26,19:30,21:00,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
문화가 있는 날_컬쳐(Culture)팔레트 <키다리아저씨>,동래문화회관 원형공연장,무용,2021-05-01,2021-05-07,9:00,17:00,"한국문화예술회관연합회, 동래문화회관",문화체육관광부,051-550-6611,2021-06-09,3300000,부산광역시 동래구
문화가 있는 날_컬쳐(Culture)팔레트 <판타스틱 카툰>,동래문화회관 원형공연장,연극,2021-05-29,2021-06-08,9:00,17:00,"한국문화예술회관연합회, 동래문화회관",문화체육관광부,051-550-6611,2021-06-09,3300000,부산광역시 동래구
제55회 숲속의 열린 음악회 <차이코프스키의 발레 갈라 콘서트>,동래문화회관 대극장,발레,2021-06-24,2021-06-26,9:00,17:00,"동래문화회관, 부산발레시어터",동래문화회관,051-550-6611,2021-06-09,3300000,부산광역시 동래구
SAC ON Screen <스윙>,동래문화회관 대극장,무용,2021-06-29,2021-06-29,19:30,21:00,동래문화회관,한국문화예술회관연합회,051-550-6611,2021-06-09,3300000,부산광역시 동래구
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
(미정),별산대놀이마당,영화음악 공연,2021-10-14,2021-10-14,19:00,20:00,사단법인 한국영화인협회 양주시지부,사단법인 한국영화인협회 양주시지부,031-836-5141,2021-05-10,5590000,경기도 양주시
양평생활문화축제,양평군 생활문화센터,주민 주도 생활문화 교류 및 생활권 내 성과 공유회 성격 행사 개최,2021&10&02,2021-10-02,00:00,00-00,(재)양평문화재단,(재)양평문화재단,"031,774,2611",2021-06-22,4170000,경기도 양평군
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
제61회 정기연주회,"국악방송, 유튜브",공연,2020-06-26,2020-06-26,19:30,00:00,성남시립국악단,성남시립국악단,031-729-4810,2020-07-10,3780000,경기도 성남시
제142회 정기연주회,유튜브,공연,2020-06-30,2020-07-03,13:00,00:00,성남시립합창단,성남시립합창단,031-729-4807,2020-07-10,3780000,경기도 성남시
유망예술가 발굴프로젝트_뮤지컬 <라 루미에르>,어울아트센터 함지홀,"유망예술가 김지식, 구지영의 작품으로 제 2차세계대전을 배경으로 한 우정과 사랑을 담은 작품",2021-10-09,2021-10-09,19:00,20:40,(재)행복북구문화재단 어울아트센터,한국문화예술회관연합회,053-320-5120,2021-09-09,3450000,대구광역시 북구
LATENCY : 유선형의 시간들,어울아트센터 갤러리 금호,레이턴시’라는 시간 모델을 키워드로 청년 미술가 6인을 소개하여 동시대 미술의 동향을 살펴보는 전시를 선보인다.,2021-10-11,2021-11-06,10:00,18:00,"(재)행복북구문화재단 어울아트센터, 리사익",한국문화예술회관연합회,053-320-5120,2021-09-09,3450000,대구광역시 북구
유망예술가 발굴프로젝트_무용 <유망안무가전 춤>,어울아트센터 함지홀,한국무용<신하적 상상력>과 현대무용 <나는 내일 너를 꿈꾼다> 2편의 유망예술가 작품을 만나 보는 공연,2021-10-14,2021-10-14,19:30,20:35,(재)행복북구문화재단 어울아트센터,한국문화예술회관연합회,053-320-5120,2021-09-09,3450000,대구광역시 북구
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017&01&07,2017-12-30,15:00,16-20,국립국악원,국립국악원,"02,580,3300",2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
연극 <아이스울프>(공연취소),이천아트홀 대공연장,연극,2020-04-03,2020-04-04,10:00,11:00,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
손호영&김태우 <호우주의보 콘서트>(공연취소),이천아트홀 대공연장,콘서트,2020-04-11,2020-04-11,19:00,21:00,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
"4월, 문화가 있는 날 <서커스 디랩>(공연취소)",이천아트홀 대공연장,복합,2020-04-30,2020-04-30,14:00,15:00,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
문화가 있는 날 <미라클라스 한태인>,이천아트홀 소공연장,클래식,2020&08&01,2020-08-01,19:00,20-00,경기도 이천시청,경기도 이천시청,"031,644,2100",2021-07-28,4070000,경기도 이천시
여름방학 클래식 <이상한 나라의 디토>,이천아트홀 대공연장,클래식,2020-08-15,2020-08-15,19:00,20:40,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
국립현대무용단 <스윙(Swing)>,이천아트홀 대공연장,무용,2020-09-12,2020-09-12,17:00,19:00,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
문화가 있는 날 <조윤범의 파워클래식>,이천아트홀 소공연장,클래식,2020-09-26,2020-09-26,16:00,17:30,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
문화가 있는 날 <더해프닝쇼_마이 드림>,이천아트홀 소공연장,복합,2020-10-30,2020-10-30,19:30,20:30,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
문화가 있는 날 <미선레나타의 샹송타고 떠나는 프랑스 여행>,이천아트홀 소공연장,콘서트,2020-10-31,2020-10-31,16:00,17:10,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
연극 <나와 할아버지>,이천아트홀 대공연장,연극,2020-11-07,2020-11-07,16:00,17:30,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017&01&07,2017-12-30,15:00,16-20,국립국악원,국립국악원,"02,580,3300",2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
토요명품공연,우면당,2017 토요명품공연,2017-01-07,2017-12-30,15:00,16:20,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
제56회 전라남도 미술대전,"문화예술회관 제1,2전시실",전시,2021-06-13,2021-06-14,9:00,18:00,한국미술협회 전남지회,한국미술협회 전남지회,061-797-3838,2021-08-18,4840000,전라남도 광양시
서민정 도예 개인전,문화예술회관 제1전시실,도예,2021-06-15,2021-06-17,9:00,18:00,서민정,서민정,061-797-3838,2021-08-18,4840000,전라남도 광양시
섬진강미술대전,"문화예술회관 제1,2전시실",서양화,2021&06&27,2021-07-04,9:00,17-30,한국미술협회 광양,한국미술협회 광양,"061,797,3838",2021-08-18,4840000,전라남도 광양시
전남연극제 늙은자전거,문화예술회관 대공연장,연극,2021-07-01,2021-07-03,15:30,19:00,한국연극협회 광양지부,한국연극협회 광양지부,061-797-3838,2021-08-18,4840000,전라남도 광양시
광양이야기,문화예술회관 대공연장,뮤지컬,2021-08-01,2021-08-01,14:00,17:00,광양시립합창단,광양시립합창단,061-797-3838,2021-08-18,4840000,전라남도 광양시
광양청소년연극제,문화예술회관 대공연장,연극,2021-08-15,2021-08-16,9:00,18:00,한국연극협회 광양지부,한국연극협회 광양지부,061-797-3838,2021-08-18,4840000,전라남도 광양시
송승환의 오리지널 난타,문화예술회관 대공연장,뮤지컬,2021&10&17,2021-10-17,15:00,19-30,광양시 문화예술과,광양시 문화예술과,"061,797,3838",2021-08-18,4840000,전라남도 광양시
전남청소년연극제,문화예술회관 대공연장,연극,2021-10-18,2021-10-18,15:00,17:00,한국연극협회 광양지부,한국연극협회 광양지부,061-797-3838,2021-08-18,4840000,전라남도 광양시
브런치콘서트 이금희의 동화뒷담2,부평아트센터,클래식,2020-09-24,2020-09-24,11:00,12:10,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
브런치콘서트 이금희의 동화뒷담3,부평아트센터,클래식,2020-10-22,2020-10-22,11:00,12:10,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
브런치콘서트 이금희의 동화뒷담4,부평아트센터,클래식,2020-11-26,2020-11-26,11:00,12:10,부평구문화재단,부평구문화재단,032-500-2000,2020-06-09,3540000,인천광역시 부평구
숲의 노래-국악으로 만나는 브레멘음악대,풍류사랑방,2015 국립국악원 송년가족공연,2015-12-19,2015-12-31,11:00,12:00,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
어린이국악교실 푸르미르 수료발표회,우면당,어린이국악교실 푸르미르 수료발표회,2015-12-20,2015-12-20,17:00,18:30,국립국악원,국립국악원,02-580-3399,2020-08-26,1371034,문화체육관광부 국립국악원
임미애 가야금 독주회 絃의 소리,우면당,임미애 가야금 독주회 絃의 소리,2015-12-22,2015-12-22,19:30,20:30,국립국악원,한양가야금,02-421-5152,2020-08-26,1371034,문화체육관광부 국립국악원
송년 나눔공연,예악당,2015 국립국악원과 함께하는,2015-12-23,2015-12-23,20:00,21:30,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
2015청소년국악체험(12.24-공연관람),예악당,2015청소년국악체험(12.24-공연관람),2015-12-24,2015-12-24,11:00,12:00,국립국악원,국립국악원,02-580-3058,2020-08-26,1371034,문화체육관광부 국립국악원
예술로 동행 무아지경,해누리타운 해누리홀,태평성대 등 전통무용의 대향연,2019-07-09,2019-07-09,19:30,20:40,서울시무용단,서울특별시 양천구청,02-2620-3404,2021-06-21,3140000,서울특별시 양천구
클릭 클래식여행,양천문화회관 대극장,"정상급 성악가들의 오페라 아리아, 듀엣, 샹송의 대향연",2019&09&25,2019-09-25,19:30,20-50,서울아레나오페라단,서울특별시 양천구청,"02,2620,3404",2021-06-21,3140000,서울특별시 양천구
오케스트라 동아리 페스티벌,양천문화회관 대극장,관내 초중고 오케스트라 동아리들의 공연,2019-10-14,2019-10-14,19:00,21:00,M&P 챔버,서울특별시 양천구청,02-2620-3404,2021-06-21,3140000,서울특별시 양천구
뮤지컬 갈라콘서트,양천문화회관 대극장,서울시 뮤지컬단의 뮤지컬 하이라이트 콘서트,2019-10-25,2019-10-25,19:30,20:40,서울시무용단,서울특별시 양천구청,02-2620-3404,2021-06-21,3140000,서울특별시 양천구
클래식 드라마 콘서트<사랑이 지나가면>,안성맞춤아트홀 대공연장,클래식+콘서트,2021-09-10,2021-09-11,19:30,21:00,안성맞춤아트홀,안성시 문화예술사업소,031-660-0666,2021-06-18,4080000,경기도 안성시
홍이삭 콘서트,안성맞춤아트홀 소공연장,콘서트,2021-09-29,2021-09-29,19:30,20:30,안성맞춤아트홀,안성시 문화예술사업소,031-660-0666,2021-06-18,4080000,경기도 안성시
가족발레 <댄싱뮤지엄>,안성맞춤아트홀 대공연장,무용,2021-10-15,2021-10-16,0:00,0:00,안성맞춤아트홀,안성시 문화예술사업소,031-660-0666,2021-06-18,4080000,경기도 안성시
레트로 라이브 콘서트,안성맞춤아트홀 대공연장,콘서트,2021&10&22,2021-10-22,0:00,0-00,안성맞춤아트홀,안성시 문화예술사업소,"031,660,0666",2021-06-18,4080000,경기도 안성시
디어재즈오케스트라,안성맞춤아트홀 대공연장,클래식,2021-10-27,2021-10-27,0:00,0:00,안성맞춤아트홀,안성시 문화예술사업소,031-660-0666,2021-06-18,4080000,경기도 안성시
어쿠스틱앙상블 재비,안성맞춤아트홀 대공연장,국악,2021-11-06,2021-11-06,0:00,0:00,안성맞춤아트홀,안성시 문화예술사업소,031-660-0666,2021-06-18,4080000,경기도 안성시
수험생과 함께하는 블랙토 시네마 콘서트,안성맞춤아트홀 소공연장,무용,2021-11-24,2021-11-24,0:00,0:00,안성맞춤아트홀,안성시 문화예술사업소,031-660-0666,2021-06-18,4080000,경기도 안성시
재즈 <문혜원> 콘서트,안성맞춤아트홀 대공연장,재즈,2021-12-24,2021-12-24,0:00,0:00,안성맞춤아트홀,안성시 문화예술사업소,031-660-0666,2021-06-18,4080000,경기도 안성시
주디스 콰르텟,안성맞춤아트홀 소공연장,클래식,2021-12-10,2021-12-10,0:00,0:00,안성맞춤아트홀,안성시 문화예술사업소,031-660-0666,2021-06-18,4080000,경기도 안성시
2021 송년음악회,안성맞춤아트홀 대공연장,콘서트,2021-12-30,2021-12-30,0:00,0:00,안성맞춤아트홀,안성시 문화예술사업소,031-660-0666,2021-06-18,4080000,경기도 안성시
2019 신년음악회,양천문화회관 대극장,클래식 오케스트라,2019-01-29,2019-01-29,19:00,20:30,서울팝스오케스트라,서울특별시 양천구청,02-2620-3404,2021-06-21,3140000,서울특별시 양천구
3.1운동 100주년기념 음악회,양천문화회관 대극장,독립운동가를 재조명하는 피아노 앙상블 공연,2019-03-17,2019-03-17,16:00,17:00,루트프러덕션,서울특별시 양천구청,02-2620-3404,2021-06-21,3140000,서울특별시 양천구
찾아가는 유랑극단 궁전의여인들,해누리타운 해누리홀,1999년 서울변두리 서민의 삶을 그린 코믹연극,2019-05-13,2019-05-13,19:30,21:00,비상,서울특별시 양천구청,02-2620-3404,2021-06-21,3140000,서울특별시 양천구
죽어주는 이야기,창녕문화예술회관 대공연장,연극,2020-06-24,2020-06-24,19:00,20:40,㈜삼형제 엔터테이먼트,경상남도 창녕군청,055-530-1911,2020-11-23,5410000,경상남도 창녕군
봉오동전투,창녕문화예술회관 대공연장,영화,2020-08-15,2020-08-15,10:30,12:45,경상남도 창녕군청,경상남도 창녕군청,055-530-1911,2020-11-23,5410000,경상남도 창녕군
다만 악에서 구하소서,창녕문화예술회관 대공연장,영화,2020-08-15,2020-08-15,16:00,17:48,CJ CGV,경상남도 창녕군청,055-530-1911,2020-11-23,5410000,경상남도 창녕군
마티네콘서트_미라클라스한태인(공연취소),이천아트홀 대공연장,클래식,2020-02-23,2020-02-23,11:00,12:10,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
김연자 라이브 콘서트(공연취소),이천아트홀 대공연장,콘서트,2020-03-07,2020-03-07,14:00,16:00,경기도 이천시청,경기도 이천시청,031-644-2100,2021-07-28,4070000,경기도 이천시
상주단체기획 연극유산게임,봉산문화회관 스페이스라온,뮤지컬,2019&12&29,2019-12-29,15:00,16-30,봉산문화회관,봉산문화회관+지오뮤직,"053,661,3521",2021-07-01,3410000,대구광역시 중구
호두까기 인형,문화예술회관 대공연장,뮤지컬,2021-12-03,2021-12-03,10:15,12:00,희망극단,희망극단,061-797-3838,2021-08-18,4840000,전라남도 광양시
레이디스싱어즈 연주회,문화예술회관 대공연장,합창,2021-12-10,2021-12-10,19:30,21:30,안동순,안동순,061-797-3838,2021-08-18,4840000,전라남도 광양시
송년콘서트,문화예술회관 대공연장,대중가요,2021-12-13,2021-12-13,19:30,21:30,광양시 문화예술과,광양시 문화예술과,061-797-3838,2021-08-18,4840000,전라남도 광양시
광양합창제,문화예술회관 대공연장,합창,2021-12-17,2021-12-17,19:30,21:30,안동순,안동순,061-797-3838,2021-08-18,4840000,전라남도 광양시
푸니와 햄버거,문화예술회관 대공연장,대중가요,2021-12-19,2021-12-20,11:00,19:30,광양시 문화예술과,광양시 문화예술과,061-797-3838,2021-08-18,4840000,전라남도 광양시
광양로타리클럽 신년하례행사,문화예술회관 대공연장,일반행사,2021-01-02,2021-01-02,9:00,13:00,광양로타리클럽,광양로타리클럽,061-797-3838,2021-08-18,4840000,전라남도 광양시
광양어린이집 발표회,문화예술회관 대공연장,일반행사,2021-01-17,2021-01-17,18:00,20:00,광양어린이집,광양어린이집,061-797-3838,2021-08-18,4840000,전라남도 광양시
가족인형극&풍선마임쇼,문화예술회관 소공연장,연극,2021&01&18,2021-01-18,17:00,18-00,광양시 도서관운영과,광양시 도서관운영과,"061,797,3838",2021-08-18,4840000,전라남도 광양시
천사들의 작은 발표회,문화예술회관 대공연장,일반행사,2021-01-20,2021-01-20,18:30,21:00,키즈아이원어린이집,키즈아이원어린이집,061-797-3838,2021-08-18,4840000,전라남도 광양시
목원음악학원 정기연주회,문화예술회관 대공연장,연주회,2021-01-21,2021-01-21,19:00,22:00,목원음악학원,목원음악학원,061-797-3838,2021-08-18,4840000,전라남도 광양시
정릉 버들잎축제(미정),정릉시장 주민마당,"어가행렬, 문화예술공연, 태평가, 참여 및 체험프로그램 등(행사시작일 종료일 미정)",2021-10-01,2021-10-31,09:00,18:00,성북구청,버들잎축제추진위원회,02-2241-5281,2021-09-06,3070000,서울특별시 성북구
